"","x"
"97","PUERTO RICAN FAMILY INSTITUTE, INC."
"98","RECOVERY PHYSICAL THERAPY, PC"
"99","SPEAR PHYSICAL THERAPY, LLC"
"100","ST. BARNABAS HOSPITAL"
"101","THE BROOKLYN HOSPITAL CENTER"
"102","THE MOUNT SINAI HOSPITAL"
"103","UNITED CEREBRAL PALSY ASSOC OF NYS"
"104","BIRCH FAMILY SERVICES, INC."
"105","BRONX-LEBANON HOSPITAL CENTER"
"106","BROOKDALE HOSPITAL MEDICAL CENTER"
"107","CATHOLIC MEDICAL CENTER OF BROOKLYN AND QUEENS"
"108","COMMUNITY RESOURCE CENTER FOR THE DEVELOPMENTALLY DISABLED, INC."
"109","EASTERN PODIATRY PLLC"
"110","JAND. INC."
"111","KINGS COUNTY HOSPITAL"
"112","KINGS COUNTY HOSPITAL CENTER"
"113","POSTGRADUATE CENTER FOR MENTAL HEALTH"
"114","RICHARD BODIAN, PT"
"115","SENIORBRIDGE FAMILY COMPANIES (FL), INC"
"116","SENIORBRIDGE FAMILY COMPANIES (NJ), INC"
"117","SPOTS"
"118","ST LUKES ROOSEVELT HOSPITAL CENTER"
"119","THE JEWISH BOARD"
"120","UPTOWN HEALTHCARE MANAGEMENT INC"
"121","VOCATIONAL INSTRUCTION PROJECT COMMUNITY SERVICES INC"
"122","AHRC"
"123","ARGUS COMMUNITY, INC."
"124","BABY AND CO LLC"
"125","BRIDGE BACK TO LIFE CENTER, INC."
"126","BROOKLYN PSYCHIATRIC CENTERS, INC"
"127","CITY PRO GROUP INC"
"128","COHEN'S FASHION OPTICAL"
"129","COMMUNITY HEALTHCARE NETWORK, INC."
"130","COMPREHENSIVE COMMUITY DEVELOPMENT CORPORATION"
"131","CONEY ISLAND HOSPITAL"
"132","DAYTOP VILLAGE, INC."
"133","EAO VISION SERVICES, INC"
"134","EMERGING VISION INC."
"135","FEDERATION EMPLOYMENT AND GUIDANCE SERVICE, INC."
"136","GRAMERCY CARDIAC DIAGNOSTIC SERVICES, P.C."
"137","HEBREW HOME FOR THE AGED AT RIVERDALE"
"138","JEWISH BOARD OF FAMILY AND CHILDREN SERVICES"
"139","JEWISH CHILD CARE ASSOCIATION OF NEW YORK"
"140","KINGSBORO PSYCHIATRIC CENTER"
"141","LINCOLN MEDICAL CENTER"
"142","MERCY HOME FOR CHILDREN, INC."
"143","METROPOLITAN UROLOGICAL SPECIALIST PC"
"144","NEW YORK DOWNTOWN HOSPITAL"
"145","NYC DEPARTMENT OF EDUCATION"
"146","OUR LADY OF MERCY MEDICAL CENTER"
"147","PROJECT RENEWAL INC"
"148","SAMARITAN DAYTOP VILLAGE, INC."
"149","SENIORBRIDGE FAMILY COMPANIES (NY), INC"
"150","SERVICES FOR THE UNDERSERVED"
"151","SERVICES FOR THE UNDERSERVED, INC"
"152","STARS DENTAL P.C."
"153","TERENCE CARDINAL COOKE HEALTH CARE CENTER"
"154","THE JEWISH HOME & HOSPITAL FOR AGED"
"155","UPPER MANHATTAN MENTAL HEALTH CENTER"
"156","URBAN HEALTH PLAN, INC"
"157","VICTORY MEMORIAL HOSPITAL"
"158","VILLAGE CENTER FOR CARE"
"159","WOMENS LEAGUE COMMUNITY RESIDENCE"
"160","AC DENTAL PLLC."
"161","ADVANCED DERMATOLOGY OF NEW YORK PC"
"162","AHRC HEALTH CARE INC"
"163","ALBERT EINSTEIN COLLEGE OF MEDICINE"
"164","ALL ABOUT KIDS"
"165","ALLCITY MEDICAL, P.C."
"166","BACK OFFICE MANAGEMENT SERVICES LLC"
"167","BETH ABRAHAM HEALTH SERVICES"
"168","BOSS DENTAL"
"169","BROOKDALE HOSPITAL"
"170","BROOKDALE UNIVERSITY HOSPITAL AND MEDICAL CENTER"
"171","BROOKDALE UNIVERSITY HOSPITAL MEDICAL CENTER"
"172","CATHOLIC CHARITIES NEIGHBORHOOD SERVICES, INC."
"173","CENTRAL BROOKLYN MEDICAL GROUP"
"174","COLUMBIA UNIVERSITY MEDICAL CENTER"
"175","EAST HARLEM COUNCIL FOR COMMUNITY IMPROVEMENT"
"176","FEDCAP REHABILITATION SERVICES, INC."
"177","FEDERATION EMPLOYMENT AND GUIDANCE SERVICE, INC"
"178","GRISTEDES FOODS INC"
"179","GUILD FOR EXCEPTIONAL CHILDREN"
"180","HARLEM EAST LIFE PLAN"
"181","HARLEM HOSPITAL"
"182","HELPFUL HAND AGENCY"
"183","ICD INTERNATIONAL CENTER FOR THE DISABLED"
"184","INTERBOROUGH DEVELOPMENTAL AND CONSULTATION CENTER"
"185","JAND INC"
"186","JEWISH HOME LIFECARE, MANHATTAN"
"187","LEGACY MEDICAL PLLC"
"188","MAGER & GOUGELMAN, INC"
"189","METRO COMMUNITY HEALTH CENTERS, INC."
"190","METROPOLITAN LITHOTRIPTOR ASSOCIATES"
"191","METROPOLITAN UROLOGICAL SPECIALIST"
"192","MOUNT SINAI SCHOOL OF MEDICINE OF NEW YORK UNIVERSITY"
"193","NEW YORK FOUNDLING HOSPITAL"
"194","NEW YORK UNIVERSITY LANGONE MEDICAL CENTER"
"195","NORTH CENTRAL BRONX HOSPITAL"
"196","NYU HOSPITALS CENTER"
"197","OHEL CHILDREN'S HOME & FAMILY SERVICES"
"198","OHEL CHILDREN'S HOME &FAMILY SERVICES"
"199","PREMIER OPERATING OHIO, LLC"
"200","PREMIER PHYSICAL THERAPY AND WELLNESS, PC"
"201","PREVENTIVE DIAGNOSTICS INC"
"202","PUERTO RICAN ORGANIZATION TO MOTIVATE ENLIGHTEN AND SERVE ADDICTS INC"
"203","REAL OPTICAL, LLC"
"204","RETINA GROUP P.C."
"205","RICHMOND HOME NEED SERVICES, INC."
"206","RIVERDALE MENTAL HEALTH ASSOCIATION INC"
"207","SHELTERING ARMS CHILDREN AND FAMILY SERVICES, INC."
"208","ST LUKES HOSPITAL"
"209","SUNY HEALTH SCIENCE CENTER AT BKLYN"
"210","SUNY HEALTH SCIENCE CENTER AT BKLYN UNIVERSITY HOSPITAL OF BROOKLYN"
"211","THE PERFECT PLAYGROUND"
"212","THE ROGOSIN INSTITUTE, INC"
"213","TRANSCARE ML, INC."
"214","TRI CENTER INC"
"215","TRI STATE HEARING"
"216","TRUSTEES OF COLUMBIA UNIVERSITY"
"217","ULTRA MEDICAL SUPPLY, INC."
"218","UNION COMMUNITY HEALTH CENTER, INC."
"219","UNITED CEREBRAL PALSY"
"220","UNITED CEREBRAL PALSY ASSOC OF NYS INC"
"221","UNITED CEREBRAL PALSY OF NEW YORK CITY, INC."
"222","UPTOWN HEALTHCARE MANAGEMENT INC."
"223","URBAN RESOURCE INSTITUTE"
"224","VISITING NURSE SERVICE OF NEW YORK"
"225","WALDBAUM INC"
"226","WOODHULL MEDICAL AND MENTAL HEALTH CENTER"
"227","WOODHULL MEDICAL CENTER"
"228","YESHIVA UNIVERSITY"
"229","758 MEDICAL SERVICES PC"
"230","96TH STREET RX CORP"
"231","A.AMERIMED PHYSICIAN, P.C."
"232","ABUNDANT LIFE AGENCY"
"233","ARIMED ORTHOTICS PROSTHETICS & PEDORTHICS INC"
"234","ASSOCIATION TO BENEFIT CHILDREN"
"235","AVANTUS RENAL THERAPY NEW YORK, LLC"
"236","BEN-TAL PHARMACY SERVICES, INC."
"237","BETANCES HEALTH CENTER"
"238","BRIDGE BACK TO LIFE"
"239","BRONX PSYCHIATRIC CENTER"
"240","BROOKLYN COMMUNITY MEDICAL PC"
"241","BROOKLYN PSYCHOTHERAPY"
"242","CARL FENICHEL COMMUNITY SERVICES"
"243","CATHOLIC CHARITIES"
"244","CATHOLIC GUARDIAN SERVICES"
"245","CENTERS ADULT DAY CARE LLC"
"246","CHARLES B. WANG COMMUNITY HEALTH CENTER, INC."
"247","CITY PRO GROUP, INC."
"248","COALITION FOR HISPANIC FAMILIES"
"249","COHEN FASHION OPTICAL LLC"
"250","COHENS FASHION OPTICAL"
"251","COMMUNITY ACCESS, INC."
"252","COMUNILIFE, INC."
"253","CREATE, INC."
"254","CVS PHARMACY"
"255","DENTAL SLEEP MEDICINE CENTER FOR SNORING AND SLEEP APNEA LLC"
"256","DIALYSIS CLINIC INC."
"257","EASTER SEALS NEW YORK, INC."
"258","ESCHEN PROSTHETIC & ORTHOTIC LABORATORIES, INC."
"259","FACULTY PRACTICE ASSOCIATES MOUNT SINAI SCHOOL OF MEDICINE"
"260","FEDERATION OF MULTICULTURAL PROGRAMS"
"261","FPA HOSPITAL BASED"
"262","HERBERT G BIRCH SERVICES, INC"
"263","HEUER OPTICAL"
"264","ICL HEALTHCARE CHOICES INC"
"265","IMAGES PHARMACY INC."
"266","INSTITUTE FOR COMMUNITY LIVING, INC."
"267","INTERMED CARE PC"
"268","LEGENDARY THERAPY"
"269","LIGHTHOUSE INTERNATIONAL"
"270","MEDALLIANCE MEDICAL HEALTH SERVICES"
"271","MEMORIAL SLOAN KETTERING"
"272","METRO ATHLETIC MEDICINE & FITNESS PC"
"273","METRO SPORTS PHYSICAL THERAPY PC"
"274","METROPOLITAN DENTAL ASSOCIATES DDS PC"
"275","MONTEFIORE NORTH"
"276","MORRISANIA DIAGNOSTIC AND TREATMENT CENTER"
"277","MOUNT SINAI"
"278","MOUNT SINAI BETH ISRAEL"
"279","MOUNT SINAI DEPARTMENT OF ORTHOPAEDIC SURGERY"
"280","MSKCC CLINICAL PRACTICE PLAN"
"281","MT. SINAI MEDICAL CENTER"
"282","NAE EDISON LLC"
"283","NATIONAL INSTITUTE FOR PEOPLE WITH DISABILITIES OF NJ, INC"
"284","NEW YORK CITY HEALTH AND HOSPITAL CORPORATION"
"285","NEW YORK COMMUNITY HOSPITAL OF BROOKLYN INC"
"286","NEW YORK SOCIETY FOR THE RELIEF OF RUPTURED & CRIPPLED MAINTAINING"
"287","NEW YORK UNIVERSITY SCHOOL OF MEDICINE"
"288","NEWYORK-PRESBYTERIAN/BROOKLYN METHODIST"
"289","NORTH BRONX HEALTHCARE NETWORK"
"290","NORTH GENERAL HOSPITAL"
"291","NY FOUNDLING"
"292","NY HAND REHABILITATION OT PC"
"293","NYU"
"294","OUR CHILDREN FIRST, INC"
"295","P.A. TERRACIANO, M.D., P.C."
"296","PALLADIA INC"
"297","PARKSHORE HEALTH CARE LLC"
"298","PARKSPORTS PHYSICAL THERAPY, PLLC"
"299","PAUL J. COOPER CENTER FOR HUMAN SERVICES, INC."
"300","PDI HEALTH LLC"
"301","PEDIATRIC HEAD AND NECK ASSOCIATES, PC"
"302","PREMIER HEALTHCARE, INC."
"303","PREVENTIVE DIAGNOSTICS INC."
"304","PROGRESSIVE PODIATRY, PLLC"
"305","QUALITY CARE PHYSICAL THERAPY, PC"
"306","RAJ MEDICAL DIAGNOSTICS PC"
"307","RJZM LLC"
"308","SCO SILVER CARE OPERATIONS LLC"
"309","SENIORBRIDGE FAMILY COMPANIES (CT), INC"
"310","SHELTERING ARMS CHILDREN & FAMILY SERVICES, INC"
"311","SHELTERING ARMS CHILDREN AND FAMILY SERVICES, INC"
"312","SOUTH BEACH PSYCHIATRIC CENTER"
"313","ST LUKES-ROOSEVELT HOSPITAL CENTER"
"314","ST. LUKE'S ROOSEVELT HOSPITAL"
"315","ST. VINCENT'S SERVICES"
"316","STARRETT PODIATRY, LLC"
"317","STATEN ISLAND MENTAL HEALTH SOCIETY"
"318","SUGARHILL MEDICAL P.C."
"319","SUNY DOWNSTATE"
"320","SV OPERATING THREE LLC"
"321","THE BRIDGE"
"322","THE CHILDREN'S AID SOCIETY"
"323","THE NEW YORK FOUNDLING HOSPITAL"
"324","THE SILVERCARE LLC"
"325","THERADYNAMICS PHYSICAL REHAB"
"326","TRI CENTER, INC."
"327","UNITED ODD FELLOW AND REBEKAH HOME"
"328","UNIVERSITY HOSPITAL OF BROOKLYN"
"329","UNIVERSITY SETTLEMENT"
"330","VISITING NURSE ASSOCIATION HEALTH CARE SERVICES INC"
"331","WARTBURG RECEIVER LLC"
"332","WOODHULL MEDICAL & MENTAL HEALTH CENTER"
"333","YELED V'YALDA"
"334","1 WISE PODIATRY CARE P.C."
"335","158TH STREET NEIGHBORHOOD PHARMACY, LLC"
"336","1ST AIDE HOME CARE, INC."
"337","1ST BRONXCARE PHARMACY INC"
"338","21ST CENTURY MEDICAL PC"
"339","42ND STREET VISION EXPRESS, LLC"
"340","596 MORRIS AVENUE PHARMACY INC"
"341","885 PARK AVENUE PODIATRY"
"342","A & S OPTICAL BOUTIQUE"
"343","ABILITY BUILDERS FOR CHILDREN, LLC"
"344","ACCELPATH PATHOLOGY DIAGNOSTIC SERVICES PLLC"
"345","ACCORDIUS HEALTH AT ST MARY, LLC"
"346","ACDP"
"347","ACHIEVE BEYOND"
"348","ACU-HEALING PLUS"
"349","ADDICTION RESEARCH AND TREATMENT CORPORATION"
"350","ADVANTAGE MANAGEMENT ASSOCIATES INC."
"351","ADVANTAGECARE PHYSICIANS PC"
"352","AGELESS MEN'S HEALTH"
"353","ALBERT EINSTEIN COLLEGE OF MEDICINE OF YESHIVA UNIVERSITY"
"354","ALINA VASILYEVA-ROZINGER, D.P.M., P.C."
"355","ALL HEART HOMECARE AGENCY"
"356","ALLCARE HOMECARE AGENCY, INC."
"357","AMERICAN HEALTHAIDE CARE, INC"
"358","AMERICAN SENIOR CARE CORP."
"359","AMERICARE CERTIFIED SPECIAL SERVICES, INC."
"360","AMERICARE, INC."
"361","AMSTERDAM WEST SIDE DENTAL ASSOCIATES"
"362","ANATOLY BELILOVSKY MD PLLC"
"363","ANCHOR HOUSE, INC."
"364","ANDREW D PEARLE MD PC"
"365","ANGEL CARE, INC."
"366","ANGEL HOME CARE AGENCY INC"
"367","APPLIED BEHAVIORAL MENTAL HEALTH COUNSELING"
"368","AREESHA PHARMACY INC"
"369","AS MEDICAL PC"
"370","ASSISTED HOME CARE, LLC"
"371","ASSOCIATION FOR METROAREA AUTISTIC CHILDREN, INC."
"372","ASSOCIATION FOR THE HELP OF RETARDED CHILDREN"
"373","ATTENDING HOME CARE SERVICES, LLC"
"374","AUTO CAR INC."
"375","AVENUE P MEDICAL ARTS P.C."
"376","AVISHAI NEUMAN MEDICAL PC"
"377","AVONDALE CARE GROUP LLC"
"378","BALM OF GILEAD MEDICAL OFFICE, PC"
"379","BARRY G CHAIKEN MD PC"
"380","BATZOFIN FERTILITY SERVICES"
"381","BAY PARKWAY OPTICAL CORP"
"382","BAY RIDGE DENTAL GROUP, P.C."
"383","BAY RIDGE MEDICAL IMAGING, PC"
"384","BAY RIDGE PHYSICAL THERAPY PC"
"385","BEHAVIORAL AND NEUROPSYCHOLOGICAL CONSULTANTS, LLP"
"386","BELLEVUE HOSPITAL"
"387","BENSONHURST FAMILY VISION CORP."
"388","BERNADITH RUSSELL, MD, PC"
"389","BEST AID COMMUNITY PHARMACY LLC"
"390","BIENVENIDO FAJARDO, M.D.P.C."
"391","BIG APPLE HOMECARE AGENCY INC"
"392","BIG MART PHARMACY INC"
"393","BIRCH FAMILY SERVICES, INC"
"394","BLANTON-PEALE INSTITUTE"
"395","BLOCK INSTITUTE SCHOOL"
"396","BLONDELL RX CORP"
"397","BORO PARK OPERATING CO LLC"
"398","BOWERY PHARMACY INC"
"399","BRIDGE BACK TO LIFE CENTER"
"400","BRIDGE BACK TO LIFE, INC."
"401","BRIDGING ACCESS TO CARE"
"402","BRIDGING ACCESS TO CARE, INC."
"403","BRIGHTON HOME CARE"
"404","BRIGHTPOINT HEALTH"
"405","BRONX FOOT REHABILITATION ASSOCIATES"
"406","BRONX RIVER NEPHRO-CARE INC."
"407","BROOKDALE PHYSICIANS DIALYSIS ASSOCIATES"
"408","BROOKDALE UNIVERSITY MEDICAL CENTER"
"409","BROOKLYN AIDS TASK FORCE"
"410","BROOKLYN CENTER FOR FAMILIES IN CRISIS"
"411","BROOKLYN COLLEGE SPEECH AND HEARING CENTER"
"412","BROOKLYN LEARNING CENTER"
"413","BROOKLYN NUCLEAR SPECT IMAGING, P.C."
"414","BROOKLYN PLAZA MEDICAL CENTER, INC"
"415","BROOKLYN PODIATRY PC"
"416","CALVARY HOSPITAL INC"
"417","CALVARY HOSPITAL INC."
"418","CANARSIE AWARE"
"419","CARERITE LLC"
"420","CARITAS EMERGENCY MEDICAL SERVICES, PC"
"421","CARL FENICHEL COMM SVCS"
"422","CAROLE LYNNE SHEAR, M.D., P.C."
"423","CASTLETON PHARMACY CORP"
"424","CATHERINE NHUNG LEE DPM, P.C."
"425","CATHOLIC GUARDIAN SOCIETY AND HOME BUREAU"
"426","CATHOLIC MANAGED LTC INC"
"427","CENTER FOR ALTERNATIVE SENTENCING AND EMPLOYMENT SERVICES"
"428","CENTER FOR NURSING AND REHABILITATION"
"429","CENTER FOR URBAN COMMUNITY SERVICES"
"430","CENTERLIGHT HEALTHCARE, INC."
"431","CENTRO SOCIAL LA ESPERANZA, INC."
"432","CFO RETAIL INC."
"433","CFO RETAIL OF NEW YORK, LLC"
"434","CFO RETAIL SERVICES, LLC"
"435","CHAIM SIEGER"
"436","CHARMAR INC"
"437","CHEMPLUS PHARMACY CORP"
"438","CHILDREN'S AID SOCIETY"
"439","CHILDREN'S HOME INTERVENTION PROGRAM, INC."
"440","CITIPRO-GROUP"
"441","CITY PRO"
"442","CITY PRO GROUP"
"443","CITY PRO GROUP INC."
"444","CITY PRO GROUP, INC"
"445","CLR MINOA LLC"
"446","CMC RADIOLOGICAL SERVICES PC"
"447","COLUMBIA PRESBYTERIAN HOSPITAL"
"448","COLUMBIA RADIOLOGY AT LAWRENCE"
"449","COLUMBIA UNIVERSITY"
"450","COMMUNITY COUNSELING & MEDIATION"
"451","COMMUNITY COUNSELING AND MEDIATION"
"452","COMMUNITY HEALTH ACTION OF STATEN ISLAND, INC."
"453","COMMUNITY HEALTH PROJECT INC"
"454","COMPETENT CARE"
"455","COMPLEXCARE SOLUTIONS"
"456","COMPREHENSIVE PAIN MANAGEMENT-ANESTHESIA SERVICES, P.C."
"457","COMPREHENSIVE PHYSICAL AND OCCUPATIONAL THERAPY ASSOCIATES, PLLC"
"458","CONFUCIUS PHARMACY INC"
"459","COOPER CHIROPRACTIC & WELLNESS CENTER"
"460","COORDINATED BEHAVIORAL CARE, INC."
"461","CROSS COUNTY MEDICAL PC"
"462","CROWN HEIGHTS PHARMACY INC"
"463","CVS ALBANY LLC"
"464","CYPRESS CARE PHARMACY INC."
"465","D.L ACUPUNCTURE, PC"
"466","DENTAL SPECIALTY ASSOCIATES PC"
"467","DIFELICE ORTHOPAEDICS PC"
"468","DOCTOR'S MEDICAL P.C"
"469","DOWN EAST LIVING & REHAB CENTER, LLC"
"470","DOWNSTATE MEDICAL CENTER"
"471","DOWNTOWN FAMILY MEDICINE, PC"
"472","DR. ALAN J. ROSEN, DPM, PC"
"473","EARLY CHILDHOOD ASSOCIATES"
"474","EAST & WEST PHYSICAL THERAPIST & ACUPUNCTURE PLLC"
"475","EAST SHORE MEDICAL PC"
"476","ELENA FELDMAN OPTOMETRIST P.C."
"477","ELITE CARE OCCUPATIONAL THERAPY PLLC"
"478","EMERGING VISION"
"479","EMERGING VISION INC"
"480","EMERGING VISION, INC"
"481","ENDO-METABOLIC PRACTICE PLLC"
"482","ENTIRE CARE INC."
"483","ENVISION OPTICS INC"
"484","EP HOME CARE LLC"
"485","ESCHEN PROSTHETIC & ORTHOTIC LABORATORIES, INC"
"486","ESCHEN PROSTHETIC AND ORTHOTIC LABORATORIES, INC."
"487","ESTHETICARE DENTAL CONSULTANT"
"488","EVELYN DOUGLIN CENTER SPIN"
"489","EVEREST DIALYSIS SERVICES, INC."
"490","EXCELLA MEDICINE PC"
"491","EXCELSIOR INTEGRATED MEDICAL GROUP, PLLC"
"492","EXPONENTS"
"493","EYES & OPTICS GRAND INC"
"494","FAMILY PHARMACY SOLUTIONS INC"
"495","FDNY"
"496","FEDCAP REHABILITATION SERVICES"
"497","FEDERATION OF MULTICULTURAL PROGRAMS, INC."
"498","FELDMAN MEDICAL P.C."
"499","FELDMAN MEDICAL PC"
"500","FIFTH AVENUE UROLOGY"
"501","FIRST STEP,LLC"
"502","FIVE BOROUGH HOME CARE, INC"
"503","FIVE STAR HOME HEALTH CARE AGENCY"
"504","FLASHRAD LLC"
"505","FLATBUSH DENTAL ASSOCIATES PC"
"506","FLATLANDS EYE CARE CENTER"
"507","FOLEY PLAZA MEDICAL, PC"
"508","FOOT CLINICS OF NEW YORK"
"509","FORDHAM TREMONT CMHC"
"510","FORDHAM TREMONT COMMUNITY MENTAL HEALTH CENTER"
"511","FOREMOST HOME CARE"
"512","FORT TRYON CENTER FOR REHABILITATION AND NURSING"
"513","FORT TRYON REHABILITATION & HEALTH CARE FACILITY LLC"
"514","FOUZIA SYED PHYSICIAN PLLC"
"515","FRIENDLY HOME CARE"
"516","GARY H FRANCO"
"517","GERSHKOVICH MEDICINE, PC"
"518","GLOBAL OPTICS,INC."
"519","GOLD & SILVER AGING HOME CARE INC"
"520","GOODWILL SOCIAL DAYCARE, INC."
"521","GOTHAM GASTROENTEROLOGY, PLLC"
"522","GOTHAM PER DIEM, INC."
"523","GRAND STREET PHARMACEUTICAL LLC"
"524","GREATCARE INC"
"525","GREEN VALLEY SNF LLC"
"526","GREEN VALLEY TERRACE SNF LLC"
"527","GREGORY SUPRIN MD PLLC"
"528","GRISTEDES OPERATING CORP"
"529","GRUPP II INC."
"530","GUILDNET, INC."
"531","H&D PHYSICAL THERAPY & OCCUPATIONAL THERAPY PLLC"
"532","HANA DENTAL NY P.C."
"533","HAND IN HAND DEVELOPMENT INC"
"534","HANNA Z ADULT DAYCARE INC"
"535","HAPPY ISLAND SENIOR CENTER,LLC"
"536","HAYM SALOMON HOME FOR THE AGED LLC"
"537","HAZELDEN NEW YORK"
"538","HCHC, INC."
"539","HEALTH CITY PHARMACY CORP"
"540","HEALTH FIRST PHARMACY INC"
"541","HEALTHSTAR MEDICAL EQUIPMENT LLC"
"542","HEALTHWISE MEDICAL ASSOCIATES, PC"
"543","HEALTHY LIVING"
"544","HEALTHY STEP"
"545","HEART DOCS LLP"
"546","HEBREW ACADEMY FOR SPECIAL CHILDREN"
"547","HELP HOME HEALTH CARE AGENCY LLC"
"548","HELPFULHAND AGENCY"
"549","HELPING U HOMECARE, INC."
"550","HEMATOLOGY ONCOLOGY ASSOCIATES OF BROOKLYN, LLP"
"551","HHC CONEY ISLAND HOSPITAL"
"552","HIGH STANDARD HOME CARE, INC."
"553","HIGHLINE ORTHOPAEDICS"
"554","HIGHLINE ORTHOPAEDICS, PLLC"
"555","HISPANIOLA MEDICAL CARE, PC"
"556","HMB PHARMACY MANAGEMENT LLC"
"557","HOSPITAL"
