"","before","after"
"47","FEDERATION OF MULTICULTURAL PROGRAMS, INC","FEDERATION OF MULTICULTURAL PROGRAMS, INC"
"48","INSTITUTES OF APPLIED HUMAN DYNAMICS","INSTITUTES OF APPLIED HUMAN DYNAMICS"
"49","KINGSBROOK JEWISH MEDICAL CENTER","KINGSBROOK JEWISH MEDICAL CENTER"
"50","NEW YORK DIALYSIS SERVICES, INC.","NEW YORK DIALYSIS SERVICES, INC."
"51","NEW YORK SOCIETY FOR THE RELIEF OF THE RUPTURED AND CRIPPLED MAINTAINI","NEW YORK SOCIETY FOR THE RELIEF OF THE RUPTURED AND CRIPPLED MAINTAINI"
"52","WOODHULL HOSPITAL","NEW YORK CITY HEALTH AND HOSPITALS CORPORATION"
"53","CABRINI MEDICAL CENTER","CABRINI MEDICAL CENTER"
"54","DEPARTMENT OF EDUCATION","DEPARTMENT OF EDUCATION"
"55","INSTITUTE FOR COMMUNITY LIVING","INSTITUTE FOR COMMUNITY LIVING"
"56","NEW YORK SOCIETY FOR THE RELIEF OF THE RUPTURED AND CRIPPLED","NEW YORK SOCIETY FOR THE RELIEF OF THE RUPTURED AND CRIPPLED MAINTAINI"
"57","START TREATMENT AND RECOVERY CENTERS INC","START TREATMENT AND RECOVERY CENTERS INC"
"58","TEG INC.","YOUNG ADULT INSTITUTE, INC."
"59","WILLIAM F RYAN COMMUNITY HEALTH CENTER INC","WILLIAM F RYAN COMMUNITY HEALTH CENTER INC"
"60","WYCKOFF HEIGHTS MEDICAL CENTER","WYCKOFF HEIGHTS MEDICAL CENTER"
"61","BROWNSVILLE COMMUNITY DEVELOPMENT CORPORATION","BROWNSVILLE COMMUNITY DEVELOPMENT CORPORATION"
"62","JBFCS","JBFCS"
"63","JEWISH BOARD OF FAMILY AND CHILDREN'S SERVICES, INC","JEWISH BOARD OF FAMILY AND CHILDREN'S SERVICES, INC"
"64","LINCOLN HOSPITAL","NEW YORK CITY HEALTH AND HOSPITALS CORPORATION"
"65","LUTHERAN MEDICAL CENTER","LUTHERAN MEDICAL CENTER"
"66","NEW YORK PRESBYTERIAN","NEW YORK CITY HEALTH AND HOSPITALS CORPORATION"
"67","NYU LANGONE MEDICAL CENTER","NYSARC INC NYC CHAPTER"
"68","NYU MEDICAL CENTER","NYSARC INC NYC CHAPTER"
"69","PUBLIC HEALTH SOLUTIONS","PUBLIC HEALTH SOLUTIONS"
"70","THERACARE","THERACARE"
"71","BRONX LEBANON HOSPITAL CENTER","NEW YORK CITY HEALTH AND HOSPITALS CORPORATION"
"72","BROOKLYN BUREAU OF COMMUNITY SERVICE","BROOKLYN BUREAU OF COMMUNITY SERVICE"
"73","COMMUNITY HEALTHCARE NETWORK INC","COMMUNITY HEALTHCARE NETWORK INC"
"74","DAYTOP VILLAGE, INC","DAYTOP VILLAGE, INC"
"75","DR MARTIN LUTHER KING JR HEALTH CENTER INC","DR MARTIN LUTHER KING JR HEALTH CENTER INC"
"76","GRUEN-ROSS OPTIKA LLC","GRUEN-ROSS OPTIKA LLC"
"77","HARLEM HOSPITAL CENTER","NEW YORK CITY HEALTH AND HOSPITALS CORPORATION"
"78","HOSPITAL FOR SPECIAL SURGERY","NEW YORK CITY HEALTH AND HOSPITALS CORPORATION"
"79","METROPOLITAN HOSPITAL CENTER","NEW YORK CITY HEALTH AND HOSPITALS CORPORATION"
"80","MT. SINAI SCHOOL OF MEDICINE","MOUNT SINAI SCHOOL OF MEDICINE"
"81","UNITED CEREBRAL PALSY OF NEW YORK CITY INC","NYSARC INC NYC CHAPTER"
"82","UNIVERSITY PHYSICIANS OF BROOKLYN","UNIVERSITY PHYSICIANS OF BROOKLYN, INC."
"83","WEILL CORNELL MEDICAL COLLEGE","WEILL CORNELL MEDICAL COLLEGE"
"84","ACKERMAN INSTITUTE FOR THE FAMILY","ACKERMAN INSTITUTE FOR THE FAMILY"
"85","BROOKLYN NUCLEAR SPECT IMAGING, PC","NYSARC INC NYC CHAPTER"
"86","CFO RETAIL, INC.","CFO RETAIL, INC."
"87","COMMUNITY HEALTHCARE NETWORK, INC","COMMUNITY HEALTHCARE NETWORK INC"
"88","EMPIRE STATE ORTHOPAEDICS, PLLC","EMPIRE STATE ORTHOPAEDICS, PLLC"
"89","JEWISH BOARD OF FAMILY AND CHILDREN'S SERVICES","JEWISH BOARD OF FAMILY AND CHILDREN'S SERVICES, INC"
"90","JEWISH BOARD OF FAMILY AND CHILDREN'S SERVICES, INC.","JEWISH BOARD OF FAMILY AND CHILDREN'S SERVICES, INC"
"91","MEMORIAL SLOAN-KETTERING CANCER CENTER","MEMORIAL SLOAN KETTERING CANCER CENTER"
"92","METROPOLITAN HOSPITAL","NEW YORK CITY HEALTH AND HOSPITALS CORPORATION"
"93","METROPOLITAN LITHOTRIPTOR ASSOCIATES, PC","METROPOLITAN LITHOTRIPTOR ASSOCIATES, PC"
"94","NEW YORK FOUNDLING","NEW YORK FOUNDLING"
"95","NEW YORK METHODIST HOSPITAL","NEW YORK CITY HEALTH AND HOSPITALS CORPORATION"
"96","PUERTO RICAN FAMILY INSTITUTE, INC.","YOUNG ADULT INSTITUTE, INC."
"97","RECOVERY PHYSICAL THERAPY, PC","RECOVERY PHYSICAL THERAPY, PC"
"98","SPEAR PHYSICAL THERAPY, LLC","SPEAR PHYSICAL THERAPY, LLC"
"99","ST. BARNABAS HOSPITAL","NEW YORK CITY HEALTH AND HOSPITALS CORPORATION"
"100","THE BROOKLYN HOSPITAL CENTER","NEW YORK CITY HEALTH AND HOSPITALS CORPORATION"
"101","THE MOUNT SINAI HOSPITAL","MOUNT SINAI SCHOOL OF MEDICINE"
"102","UNITED CEREBRAL PALSY ASSOC OF NYS","NYSARC INC NYC CHAPTER"
"103","BIRCH FAMILY SERVICES, INC.","BIRCH FAMILY SERVICES, INC."
"104","BRONX-LEBANON HOSPITAL CENTER","NEW YORK CITY HEALTH AND HOSPITALS CORPORATION"
"105","BROOKDALE HOSPITAL MEDICAL CENTER","NEW YORK CITY HEALTH AND HOSPITALS CORPORATION"
"106","CATHOLIC MEDICAL CENTER OF BROOKLYN AND QUEENS","CATHOLIC MEDICAL CENTER OF BROOKLYN AND QUEENS"
"107","COMMUNITY RESOURCE CENTER FOR THE DEVELOPMENTALLY DISABLED, INC.","COMMUNITY RESOURCE CENTER FOR THE DEVELOPMENTALLY DISABLED, INC."
"108","EASTERN PODIATRY PLLC","EASTERN PODIATRY PLLC"
"109","JAND. INC.","JAND INC."
"110","KINGS COUNTY HOSPITAL","NEW YORK CITY HEALTH AND HOSPITALS CORPORATION"
"111","KINGS COUNTY HOSPITAL CENTER","NEW YORK CITY HEALTH AND HOSPITALS CORPORATION"
"112","POSTGRADUATE CENTER FOR MENTAL HEALTH","POSTGRADUATE CENTER FOR MENTAL HEALTH"
"113","RICHARD BODIAN, PT","RICHARD BODIAN, PT"
"114","SENIORBRIDGE FAMILY COMPANIES (FL), INC","SENIORBRIDGE FAMILY COMPANIES (FL), INC."
"115","SENIORBRIDGE FAMILY COMPANIES (NJ), INC","SENIORBRIDGE FAMILY COMPANIES (FL), INC."
"116","SPOTS","PROFESSIONAL ORTHOPEDIC AND SPORTS PHYSICAL THERAPY PC"
"117","ST LUKES ROOSEVELT HOSPITAL CENTER","NEW YORK CITY HEALTH AND HOSPITALS CORPORATION"
"118","THE JEWISH BOARD","THE JEWISH BOARD"
"119","UPTOWN HEALTHCARE MANAGEMENT INC","UPTOWN HEALTHCARE MANAGEMENT INC"
"120","VOCATIONAL INSTRUCTION PROJECT COMMUNITY SERVICES INC","VOCATIONAL INSTRUCTION PROJECT COMMUNITY SERVICES INC"
"121","AHRC","NYSARC INC NYC CHAPTER"
"122","ARGUS COMMUNITY, INC.","ARGUS COMMUNITY, INC."
"123","BABY AND CO LLC","BABY AND CO LLC"
"124","BRIDGE BACK TO LIFE CENTER, INC.","BRIDGE BACK TO LIFE CENTER, INC."
"125","BROOKLYN PSYCHIATRIC CENTERS, INC","BROOKLYN PSYCHIATRIC CENTERS, INC"
"126","CITY PRO GROUP INC","CITY PRO GROUP INC"
"127","COHEN'S FASHION OPTICAL","COHEN'S FASHION OPTICAL"
"128","COMMUNITY HEALTHCARE NETWORK, INC.","COMMUNITY HEALTHCARE NETWORK INC"
"129","COMPREHENSIVE COMMUITY DEVELOPMENT CORPORATION","COMPREHENSIVE COMMUITY DEVELOPMENT CORPORATION"
"130","CONEY ISLAND HOSPITAL","NEW YORK CITY HEALTH AND HOSPITALS CORPORATION"
"131","DAYTOP VILLAGE, INC.","DAYTOP VILLAGE, INC"
"132","EAO VISION SERVICES, INC","EAO VISION SERVICES, INC"
"133","EMERGING VISION INC.","EMERGING VISION INC."
"134","FEDERATION EMPLOYMENT AND GUIDANCE SERVICE, INC.","FEDERATION EMPLOYMENT AND GUIDANCE SERVICE, INC."
"135","GRAMERCY CARDIAC DIAGNOSTIC SERVICES, P.C.","GRAMERCY CARDIAC DIAGNOSTIC SERVICES, P.C."
"136","HEBREW HOME FOR THE AGED AT RIVERDALE","HEBREW HOME FOR THE AGED AT RIVERDALE"
"137","JEWISH BOARD OF FAMILY AND CHILDREN SERVICES","JEWISH BOARD OF FAMILY AND CHILDREN'S SERVICES, INC"
"138","JEWISH CHILD CARE ASSOCIATION OF NEW YORK","JEWISH CHILD CARE ASSOCIATION OF NEW YORK"
"139","KINGSBORO PSYCHIATRIC CENTER","BROOKLYN PSYCHIATRIC CENTERS, INC"
"140","LINCOLN MEDICAL CENTER","LINCOLN MEDICAL CENTER"
"141","MERCY HOME FOR CHILDREN, INC.","MERCY HOME FOR CHILDREN, INC."
"142","METROPOLITAN UROLOGICAL SPECIALIST PC","NYSARC INC NYC CHAPTER"
"143","NEW YORK DOWNTOWN HOSPITAL","NEW YORK CITY HEALTH AND HOSPITALS CORPORATION"
"144","NYC DEPARTMENT OF EDUCATION","DEPARTMENT OF EDUCATION"
"145","OUR LADY OF MERCY MEDICAL CENTER","OUR LADY OF MERCY MEDICAL CENTER"
"146","PROJECT RENEWAL INC","PROJECT RENEWAL INC"
"147","SAMARITAN DAYTOP VILLAGE, INC.","DAYTOP VILLAGE, INC"
"148","SENIORBRIDGE FAMILY COMPANIES (NY), INC","SENIORBRIDGE FAMILY COMPANIES (FL), INC."
"149","SERVICES FOR THE UNDERSERVED","SERVICES FOR THE UNDERSERVED"
"150","SERVICES FOR THE UNDERSERVED, INC","SERVICES FOR THE UNDERSERVED"
"151","STARS DENTAL P.C.","STARS DENTAL P.C."
"152","TERENCE CARDINAL COOKE HEALTH CARE CENTER","TERENCE CARDINAL COOKE HEALTH CARE CENTER"
"153","THE JEWISH HOME & HOSPITAL FOR AGED","NEW YORK CITY HEALTH AND HOSPITALS CORPORATION"
"154","UPPER MANHATTAN MENTAL HEALTH CENTER","UPPER MANHATTAN MENTAL HEALTH CENTER"
"155","URBAN HEALTH PLAN, INC","URBAN HEALTH PLAN, INC."
"156","VICTORY MEMORIAL HOSPITAL","NEW YORK CITY HEALTH AND HOSPITALS CORPORATION"
"157","VILLAGE CENTER FOR CARE","VILLAGE CENTER FOR CARE"
"158","WOMENS LEAGUE COMMUNITY RESIDENCE","WOMENS LEAGUE COMMUNITY RESIDENCE"
"159","AC DENTAL PLLC.","AC DENTAL PLLC."
"160","ADVANCED DERMATOLOGY OF NEW YORK PC","ADVANCED DERMATOLOGY OF NEW YORK PC"
"161","AHRC HEALTH CARE INC","NYSARC INC NYC CHAPTER"
"162","ALBERT EINSTEIN COLLEGE OF MEDICINE","ALBERT EINSTEIN COLLEGE OF MEDICINE"
"163","ALL ABOUT KIDS","ALL ABOUT KIDS"
"164","ALLCITY MEDICAL, P.C.","ALLCITY MEDICAL, P.C."
"165","BACK OFFICE MANAGEMENT SERVICES LLC","BACK OFFICE MANAGEMENT SERVICES LLC"
"166","BETH ABRAHAM HEALTH SERVICES","BETH ABRAHAM HEALTH SERVICES"
"167","BOSS DENTAL","BOSS DENTAL"
"168","BROOKDALE HOSPITAL","NEW YORK CITY HEALTH AND HOSPITALS CORPORATION"
"169","BROOKDALE UNIVERSITY HOSPITAL AND MEDICAL CENTER","NEW YORK CITY HEALTH AND HOSPITALS CORPORATION"
"170","BROOKDALE UNIVERSITY HOSPITAL MEDICAL CENTER","NEW YORK CITY HEALTH AND HOSPITALS CORPORATION"
"171","CATHOLIC CHARITIES NEIGHBORHOOD SERVICES, INC.","CATHOLIC CHARITIES NEIGHBORHOOD SERVICES, INC."
"172","CENTRAL BROOKLYN MEDICAL GROUP","CENTRAL BROOKLYN MEDICAL GROUP"
"173","COLUMBIA UNIVERSITY MEDICAL CENTER","THE TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW YORK"
"174","EAST HARLEM COUNCIL FOR COMMUNITY IMPROVEMENT","EAST HARLEM COUNCIL FOR COMMUNITY IMPROVEMENT"
"175","FEDCAP REHABILITATION SERVICES, INC.","FEDCAP REHABILITATION SERVICES, INC."
"176","FEDERATION EMPLOYMENT AND GUIDANCE SERVICE, INC","FEDERATION EMPLOYMENT AND GUIDANCE SERVICE, INC."
"177","GRISTEDES FOODS INC","GRISTEDES FOODS INC"
"178","GUILD FOR EXCEPTIONAL CHILDREN","GUILD FOR EXCEPTIONAL CHILDREN"
"179","HARLEM EAST LIFE PLAN","HARLEM EAST LIFE PLAN"
"180","HARLEM HOSPITAL","NEW YORK CITY HEALTH AND HOSPITALS CORPORATION"
"181","HELPFUL HAND AGENCY","HELPFUL HAND AGENCY"
"182","ICD INTERNATIONAL CENTER FOR THE DISABLED","ICD INTERNATIONAL CENTER FOR THE DISABLED"
"183","INTERBOROUGH DEVELOPMENTAL AND CONSULTATION CENTER","NYSARC INC NYC CHAPTER"
"184","JAND INC","JAND INC."
"185","JEWISH HOME LIFECARE, MANHATTAN","JEWISH HOME LIFECARE, MANHATTAN"
"186","LEGACY MEDICAL PLLC","LEGACY MEDICAL PLLC"
"187","MAGER & GOUGELMAN, INC","MAGER & GOUGELMAN, INC"
"188","METRO COMMUNITY HEALTH CENTERS, INC.","METRO COMMUNITY HEALTH CENTERS, INC."
"189","METROPOLITAN LITHOTRIPTOR ASSOCIATES","METROPOLITAN LITHOTRIPTOR ASSOCIATES, PC"
"190","METROPOLITAN UROLOGICAL SPECIALIST","NYSARC INC NYC CHAPTER"
"191","MOUNT SINAI SCHOOL OF MEDICINE OF NEW YORK UNIVERSITY","MOUNT SINAI SCHOOL OF MEDICINE"
"192","NEW YORK FOUNDLING HOSPITAL","NEW YORK FOUNDLING"
"193","NEW YORK UNIVERSITY LANGONE MEDICAL CENTER","NYSARC INC NYC CHAPTER"
"194","NORTH CENTRAL BRONX HOSPITAL","NEW YORK CITY HEALTH AND HOSPITALS CORPORATION"
"195","NYU HOSPITALS CENTER","NYSARC INC NYC CHAPTER"
"196","OHEL CHILDREN'S HOME & FAMILY SERVICES","OHEL CHILDREN'S HOME & FAMILY SERVICES"
"197","OHEL CHILDREN'S HOME &FAMILY SERVICES","OHEL CHILDREN'S HOME & FAMILY SERVICES"
"198","PREMIER OPERATING OHIO, LLC","PREMIER OPERATING OHIO, LLC"
"199","PREMIER PHYSICAL THERAPY AND WELLNESS, PC","PREMIER PHYSICAL THERAPY AND WELLNESS, PC"
"200","PREVENTIVE DIAGNOSTICS INC","PREVENTIVE DIAGNOSTICS INC"
"201","PUERTO RICAN ORGANIZATION TO MOTIVATE ENLIGHTEN AND SERVE ADDICTS INC","PUERTO RICAN ORGANIZATION TO MOTIVATE ENLIGHTEN AND SERVE ADDICTS INC"
"202","REAL OPTICAL, LLC","REAL OPTICAL, LLC"
"203","RETINA GROUP P.C.","RETINA GROUP P.C."
"204","RICHMOND HOME NEED SERVICES, INC.","RICHMOND HOME NEED SERVICES, INC."
"205","RIVERDALE MENTAL HEALTH ASSOCIATION INC","RIVERDALE MENTAL HEALTH ASSOCIATION INC"
"206","SHELTERING ARMS CHILDREN AND FAMILY SERVICES, INC.","SHELTERING ARMS CHILDREN AND FAMILY SERVICES, INC."
"207","ST LUKES HOSPITAL","NEW YORK CITY HEALTH AND HOSPITALS CORPORATION"
"208","SUNY HEALTH SCIENCE CENTER AT BKLYN","NYSARC INC NYC CHAPTER"
"209","SUNY HEALTH SCIENCE CENTER AT BKLYN UNIVERSITY HOSPITAL OF BROOKLYN","NYSARC INC NYC CHAPTER"
"210","THE PERFECT PLAYGROUND","THE PERFECT PLAYGROUND"
"211","THE ROGOSIN INSTITUTE, INC","THE ROGOSIN INSTITUTE, INC"
"212","TRANSCARE ML, INC.","TRANSCARE ML, INC."
"213","TRI CENTER INC","BROOKLYN PSYCHIATRIC CENTERS, INC"
"214","TRI STATE HEARING","TRI STATE HEARING"
"215","TRUSTEES OF COLUMBIA UNIVERSITY","THE TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW YORK"
"216","ULTRA MEDICAL SUPPLY, INC.","ULTRA MEDICAL SUPPLY, INC."
"217","UNION COMMUNITY HEALTH CENTER, INC.","UNION COMMUNITY HEALTH CENTER, INC."
"218","UNITED CEREBRAL PALSY","NYSARC INC NYC CHAPTER"
"219","UNITED CEREBRAL PALSY ASSOC OF NYS INC","NYSARC INC NYC CHAPTER"
"220","UNITED CEREBRAL PALSY OF NEW YORK CITY, INC.","NYSARC INC NYC CHAPTER"
"221","UPTOWN HEALTHCARE MANAGEMENT INC.","UPTOWN HEALTHCARE MANAGEMENT INC"
"222","URBAN RESOURCE INSTITUTE","URBAN RESOURCE INSTITUTE"
"223","VISITING NURSE SERVICE OF NEW YORK","NYSARC INC NYC CHAPTER"
"224","WALDBAUM INC","WALDBAUM INC"
"225","WOODHULL MEDICAL AND MENTAL HEALTH CENTER","WOODHULL MEDICAL AND MENTAL HEALTH CENTER"
"226","WOODHULL MEDICAL CENTER","WOODHULL MEDICAL CENTER"
"227","YESHIVA UNIVERSITY","YESHIVA UNIVERSITY"
"228","758 MEDICAL SERVICES PC","758 MEDICAL SERVICES PC"
"229","96TH STREET RX CORP","96TH STREET RX CORP"
"230","A.AMERIMED PHYSICIAN, P.C.","A.AMERIMED PHYSICIAN, P.C."
"231","ABUNDANT LIFE AGENCY","ABUNDANT LIFE AGENCY"
"232","ARIMED ORTHOTICS PROSTHETICS & PEDORTHICS INC","ARIMED ORTHOTICS PROSTHETICS & PEDORTHICS INC"
"233","ASSOCIATION TO BENEFIT CHILDREN","ASSOCIATION TO BENEFIT CHILDREN"
"234","AVANTUS RENAL THERAPY NEW YORK, LLC","NYSARC INC NYC CHAPTER"
"235","BEN-TAL PHARMACY SERVICES, INC.","BEN-TAL PHARMACY SERVICES, INC."
"236","BETANCES HEALTH CENTER","BETANCES HEALTH CENTER"
"237","BRIDGE BACK TO LIFE","BRIDGE BACK TO LIFE CENTER, INC."
"238","BRONX PSYCHIATRIC CENTER","BROOKLYN PSYCHIATRIC CENTERS, INC"
"239","BROOKLYN COMMUNITY MEDICAL PC","BROOKLYN COMMUNITY MEDICAL PC"
"240","BROOKLYN PSYCHOTHERAPY","BROOKLYN PSYCHOTHERAPY"
"241","CARL FENICHEL COMMUNITY SERVICES","CARL FENICHEL COMMUNITY SERVICES"
"242","CATHOLIC CHARITIES","CATHOLIC CHARITIES NEIGHBORHOOD SERVICES, INC."
"243","CATHOLIC GUARDIAN SERVICES","CATHOLIC GUARDIAN SERVICES"
"244","CENTERS ADULT DAY CARE LLC","CENTERS ADULT DAY CARE LLC"
"245","CHARLES B. WANG COMMUNITY HEALTH CENTER, INC.","CHARLES B. WANG COMMUNITY HEALTH CENTER, INC."
"246","CITY PRO GROUP, INC.","CITY PRO GROUP INC"
"247","COALITION FOR HISPANIC FAMILIES","COALITION FOR HISPANIC FAMILIES"
"248","COHEN FASHION OPTICAL LLC","COHEN'S FASHION OPTICAL"
"249","COHENS FASHION OPTICAL","COHEN'S FASHION OPTICAL"
"250","COMMUNITY ACCESS, INC.","COMMUNITY ACCESS, INC."
"251","COMUNILIFE, INC.","MAIMONIDES MEDICAL CENTER"
"252","CREATE, INC.","YOUNG ADULT INSTITUTE, INC."
"253","CVS PHARMACY","CVS PHARMACY"
"254","DENTAL SLEEP MEDICINE CENTER FOR SNORING AND SLEEP APNEA LLC","DENTAL SLEEP MEDICINE CENTER FOR SNORING AND SLEEP APNEA LLC"
"255","DIALYSIS CLINIC INC.","DIALYSIS CLINIC INC."
"256","EASTER SEALS NEW YORK, INC.","EASTER SEALS NEW YORK, INC."
"257","ESCHEN PROSTHETIC & ORTHOTIC LABORATORIES, INC.","ESCHEN PROSTHETIC & ORTHOTIC LABORATORIES, INC."
"258","FACULTY PRACTICE ASSOCIATES MOUNT SINAI SCHOOL OF MEDICINE","MOUNT SINAI SCHOOL OF MEDICINE"
"259","FEDERATION OF MULTICULTURAL PROGRAMS","FEDERATION OF MULTICULTURAL PROGRAMS, INC"
"260","FPA HOSPITAL BASED","NEW YORK CITY HEALTH AND HOSPITALS CORPORATION"
"261","HERBERT G BIRCH SERVICES, INC","HERBERT G BIRCH SERVICES, INC"
"262","HEUER OPTICAL","HEUER OPTICAL"
"263","ICL HEALTHCARE CHOICES INC","ICL HEALTHCARE CHOICES INC"
"264","IMAGES PHARMACY INC.","IMAGES PHARMACY INC."
"265","INSTITUTE FOR COMMUNITY LIVING, INC.","INSTITUTE FOR COMMUNITY LIVING"
"266","INTERMED CARE PC","INTERMED CARE PC"
"267","LEGENDARY THERAPY","LEGENDARY THERAPY"
"268","LIGHTHOUSE INTERNATIONAL","LIGHTHOUSE INTERNATIONAL"
"269","MEDALLIANCE MEDICAL HEALTH SERVICES","MEDALLIANCE MEDICAL HEALTH SERVICES"
"270","MEMORIAL SLOAN KETTERING","MEMORIAL SLOAN KETTERING CANCER CENTER"
"271","METRO ATHLETIC MEDICINE & FITNESS PC","METRO ATHLETIC MEDICINE & FITNESS PC"
"272","METRO SPORTS PHYSICAL THERAPY PC","PROFESSIONAL ORTHOPEDIC AND SPORTS PHYSICAL THERAPY PC"
"273","METROPOLITAN DENTAL ASSOCIATES DDS PC","METROPOLITAN DENTAL ASSOCIATES DDS PC"
"274","MONTEFIORE NORTH","MONTEFIORE NORTH"
"275","MORRISANIA DIAGNOSTIC AND TREATMENT CENTER","MORRISANIA DIAGNOSTIC AND TREATMENT CENTER"
"276","MOUNT SINAI","MOUNT SINAI SCHOOL OF MEDICINE"
"277","MOUNT SINAI BETH ISRAEL","MOUNT SINAI SCHOOL OF MEDICINE"
"278","MOUNT SINAI DEPARTMENT OF ORTHOPAEDIC SURGERY","MOUNT SINAI SCHOOL OF MEDICINE"
"279","MSKCC CLINICAL PRACTICE PLAN","MSKCC CLINICAL PRACTICE PLAN"
"280","MT. SINAI MEDICAL CENTER","MOUNT SINAI MEDICAL CENTER"
"281","NAE EDISON LLC","NAE EDISON LLC"
"282","NATIONAL INSTITUTE FOR PEOPLE WITH DISABILITIES OF NJ, INC","NATIONAL INSTITUTE FOR PEOPLE WITH DISABILITIES OF NJ, INC"
